tiempo, idMontacargas, nodosActuales, paquetesTrasladados, distanciaRecorrida, pesoLevantado
3.1448440551757812,1,1,0,449.80199685096744,0
3.7922720909118652,0,1,0,627.5478993360491,0
5.615170955657959,1,2,0,1436.970611524583,0
6.640644073486328,0,2,0,1770.6444016781027,0
13.057055950164795,1,0,0,4929.379251694685,816
16.890181064605713,0,0,0,5751.513043810644,816
32.090771198272705,1,1,0,4929.379251694685,816
37.38093686103821,1,2,1,5269.028266286857,0
45.09097504615784,1,0,1,22631.695692491565,816
48.05835485458374,0,1,0,5751.513043810644,816
53.33794617652893,0,2,1,6236.42750652007,0
60.95761823654175,0,0,1,30547.46117334535,816
64.00530195236206,1,1,1,22631.695692491565,816
69.35789608955383,1,2,2,23262.32202258114,0
77.19563603401184,1,0,2,54546.53940525049,816
